id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
aef22e3e-f662-4c7b-b44b-6f32244e107f,L3,Root
aef22e3e-f662-4c7b-b44b-6f32244e107f,L1,Root
cf88ed89-a51c-447c-9d49-3fdefba06096,L3,User
aef22e3e-f662-4c7b-b44b-6f32244e107f,L1,Root
2def02e0-cfd2-49a2-8b2c-3947833a6c4c,L3,Workspace
aef22e3e-f662-4c7b-b44b-6f32244e107f,L1,Root
14f0f986-b2b6-4b71-b13d-f8414b2ff3b8,L3,Channel
00000000-0000-0000-0000-000000000000,L1,Root
aef22e3e-f662-4c7b-b44b-6f32244e107f,L2,Root
aef22e3e-f662-4c7b-b44b-6f32244e107f,L1,Root
14f0f986-b2b6-4b71-b13d-f8414b2ff3b8,L2,Channel
aef22e3e-f662-4c7b-b44b-6f32244e107f,L1,Root
aef22e3e-f662-4c7b-b44b-6f32244e107f,L1,Root
1625079c-06d4-43ad-a72b-690fe32a89fc,L1,Message
5c3688b7-98be-4f5f-b5f5-dcc33c5f4528,L1,Message
5edb5cfd-61fd-413b-8341-cfa6d7037dbc,L1,Message
54b46306-5162-4e42-b9dd-7d647725d7ee,L1,Message
1916d610-521f-4c4c-9c9e-d2baa4a18597,L1,Message
525b6ef3-e84f-4ee7-b73d-308fdd6509d6,L1,Message
1541d392-4642-4dbc-b8e2-84b2a63132fb,L1,Message
5ed9201c-8bb1-4f30-b3e9-312ad7ab2a83,L1,Message
4c93b5e3-0092-407c-b307-8fdef8b80641,L1,Message
57827ad7-399e-4b80-a75b-db6ef09e07ac,L1,Message
1fc3902e-f47f-4724-ae4e-cc1a50430df9,L1,Message
5975df6d-51e9-4bcf-aa6b-ebc25a2ba605,L1,Message
0ae9caa8-253c-4d79-821f-826cc6463cb1,L1,Message
2184f48c-9379-4cd7-8c3f-6e4398159ead,L1,Message
1f60ead6-ff4b-41bf-89f9-4c6b2734537d,L1,Message
2bb04c88-5299-4e8f-a0d1-0442d3446d9f,L1,Message
1ecd2b1a-0a82-4495-8495-edbf741bfd9d,L1,Message
027221ac-a7ba-43d3-ae59-c172af080ab0,L1,Message
11cdd864-8f2f-49d9-8dd8-59b1a6163aa1,L1,Message
53d4605b-b9f0-488b-94b3-6a78a37edf2f,L1,Message
74177a8e-f8a5-4423-a127-37640442c250,L1,Message
60312a4d-e62d-4ad9-ad1e-93b3e2fb1357,L1,Message
32fd17fa-c9cd-4023-97cd-95fb1ee263ab,L1,Message
58dbf804-b8ca-41b9-87fb-4eb1a2595820,L1,Message
82d976a4-1bca-44fb-bab0-82d9711c4467,L1,Message
32a9febe-c8ec-498d-b5ab-c0b460141e82,L1,Message
5780b7ae-34f5-450b-bc55-c7173aba5e4d,L1,Message
c3b302ca-e34f-4740-8719-0c7f8c2a51fd,L1,Message
93190e3a-aae4-48e0-8523-ed876913846d,L1,Message
1f6e931f-dc1c-4c1f-8257-d2e0447127cb,L1,Message
61c0d85c-1521-4e38-89ac-ffbda689b4c9,L1,Message
ee9350a4-675d-4c49-a00e-fb85479b812f,L1,Message
d2ff6306-0c9a-453f-9d62-de2fb98df5e6,L1,Message
0cb1bc77-3914-43f6-b527-a66ec098828f,L1,Message
1b78766d-288b-4c9a-bf4b-e4716e3d2644,L1,Message
26536556-5a36-4fa2-8615-bb3d66790c98,L1,Message
6b471993-1f48-4db7-bd19-fbed9e90f9e1,L1,Message
00c76173-abe2-4a6e-9696-6afe2e93b68e,L1,Message
55cf4aef-2d21-4396-b931-e32cfe4ac985,L1,Message
5695e516-43fa-4147-a865-a647f9b858a4,L1,Message
2058277c-e3da-4dc6-8dec-ad997be7bcc5,L1,Message
14a5ed16-9164-4ecc-9846-1a2921ac52d7,L1,Message
3ec11753-eeb2-4df7-aea4-f58566691061,L1,Message
bf84c84e-ba04-4bfd-9172-23625554aa33,L1,Message
42c1289f-a4d5-4127-8690-e02c3f847d5a,L1,Message
471dee24-4c6c-46a3-bcbe-ab58d22c3374,L1,Message
8f4a98b6-8255-4a33-963f-084aab37d8ef,L1,Message
7f24534c-4ccd-451e-97a5-699e65a8bb7a,L1,Message
9c52bd90-2005-4286-a5c4-638b8ffbd28f,L1,Message
4678d5bc-4b67-4195-b762-a96e18157d7e,L1,Message
3d99bfa9-9294-452b-a5ab-990d9107a24b,L1,Message
d716a1ff-9da8-46ff-b521-fec85391133c,L1,Message
dc87e1cb-1549-450c-a1aa-8d4284826384,L1,Message
a0a5b664-8ea3-4d6a-ae42-0c2f7d19bf0f,L1,Message
04158901-e875-4991-b60d-499a76f29b27,L1,Message
4823fc2c-bcff-47ff-b778-bdddd9a320ce,L1,Message
4ebc6262-95dd-4027-b9f9-2595729e3ec1,L1,Message
b954300e-a1f9-44fa-a35c-b33c42d60120,L1,Message
df82c6ff-0f35-4619-8e20-bffe2f59155f,L1,Message
eeabf3ce-9576-4bf2-99cf-f0c522472795,L1,Message
19743fd5-d404-436a-bfcc-dbde16108f7b,L1,Message
bf9d263a-5340-47e4-9b81-5742ccb1ea1e,L1,Message
378ddc34-58fe-40a1-9a70-f8c951eabb8d,L1,Message
9dba4d59-65ad-4933-b916-73abce270242,L1,Message
6028dfd8-4a63-4006-9a4a-ddda0e91873c,L1,Message
3730dd83-8ef7-44fe-a01b-90ed5c0938e0,L1,Message
67f39722-8381-4c91-bf00-3effacee3ed1,L1,Message
8f548979-b019-4ada-b27f-5716b6e669d2,L1,Message
4cf52f29-1bb3-4fc8-83c0-7049a177a778,L1,Message
87a63cbf-b2ca-4837-af9f-642fd9826995,L1,Message
7a351675-5458-4f32-8928-a7c7edcdebd9,L1,Message
32f9322d-3811-43e3-93e5-d9ef4206aa26,L1,Message
42dcc8de-f6b3-4cf2-8ff9-f88d93a8a148,L1,Message
8fb082e9-3747-4f0b-a9e5-a3cccd088ae6,L1,Message
610e1db0-2b14-41a8-b1fb-46e01c4d1d80,L1,Message
e8d960f7-d732-4dce-9ea4-15a76219dcf2,L1,Message
5ac08c3c-2bac-4ce5-b18a-f3eb5c5301bc,L1,Message
ae6bcd93-ef00-47b0-b2ed-e3a8d36b2559,L1,Message
6ba7c822-c307-4bb6-934b-af3730a626bb,L1,Message
d1a5ff62-be67-4f68-a466-21767e81ef64,L1,Message
ae947df0-e0e8-4c50-b333-de586e81ddec,L1,Message
d24d8690-971d-4369-be49-cfdad9fda6b6,L1,Message
a90883af-2fa4-4fdd-8fd5-9b6158108b14,L1,Message
9bc4b2d3-821d-48eb-aa92-e4451a781e18,L1,Message
e4be8d24-9086-4978-9658-f2a51e65f7fa,L1,Message
