walker,prefetch_limit,trial,e2e_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss
load_channel,0,1,8398.758,0.000,0.000,0.000,7493.589,82.3,34633,3,7430,0
load_channel,0,2,8414.679,0.000,0.000,0.000,7514.241,82.3,34633,3,7430,0
load_channel,0,3,8443.223,0.000,0.000,0.000,7538.053,82.3,34633,3,7430,0
load_channel,500,1,8442.721,44.049,6.158,7.904,7491.211,82.3,34634,3,7430,0
load_channel,500,2,8422.691,44.092,6.339,18.767,7464.995,83.3,35057,79,6931,0
load_channel,500,3,8383.469,43.891,6.197,5.318,7431.319,83.5,35133,3,6931,0
load_channel,1000,1,8334.137,44.047,6.221,10.180,7374.119,82.3,34634,3,7430,0
load_channel,1000,2,8395.486,44.400,6.795,18.098,7442.626,82.5,34688,458,6921,0
load_channel,1000,3,8339.478,44.689,6.535,8.330,7380.553,83.6,35175,461,6431,0
load_channel,2000,1,8561.743,47.239,6.883,14.125,7602.111,82.3,34634,3,7430,0
load_channel,2000,2,8393.657,44.986,6.974,12.262,7436.990,86.7,36457,179,5431,0
load_channel,2000,3,8403.923,44.401,7.329,11.270,7444.746,82.3,34634,3,7430,0
load_channel,4000,1,8283.620,44.625,16.011,21.896,7308.027,86.0,36187,3,5877,0
load_channel,4000,2,8266.359,44.385,16.210,31.739,7299.128,85.9,36133,3,5931,0
load_channel,4000,3,7943.411,45.228,17.065,20.892,6985.407,89.1,37484,1152,3431,0
load_channel,6000,1,7743.575,44.438,28.458,28.588,6759.506,90.6,38133,3,3931,0
load_channel,6000,2,7765.109,44.023,30.557,26.007,6782.822,90.7,38171,3,3893,0
load_channel,6000,3,7775.150,43.729,29.780,26.761,6788.776,90.6,38133,3,3931,0
load_channel,8000,1,7392.268,44.899,59.735,37.491,6385.187,94.0,39559,3,2505,0
load_channel,8000,2,7347.644,45.274,59.099,28.737,6324.866,94.0,39559,3,2505,0
load_channel,8000,3,7284.487,44.452,57.346,29.711,6273.102,94.0,39559,3,2505,0
load_channel,10000,1,7560.458,45.597,65.211,52.472,6533.153,94.0,39559,3,2505,0
load_channel,10000,2,7607.548,45.640,66.832,33.251,6573.345,94.0,39559,3,2505,0
load_channel,10000,3,7543.708,44.193,61.281,34.752,6494.873,94.0,39559,3,2505,0
load_channel,12000,1,7472.835,44.167,62.368,35.406,6443.629,94.0,39559,3,2505,0
load_channel,12000,2,7446.906,46.422,64.142,33.898,6416.678,94.0,39559,3,2505,0
load_channel,12000,3,7557.358,45.122,60.732,30.653,6521.966,94.0,39559,3,2505,0
load_channel,16000,1,7584.990,45.374,60.304,40.571,6558.443,94.0,39559,3,2505,0
load_channel,16000,2,7496.060,44.500,63.646,34.432,6469.614,94.2,39644,3,2420,0
load_channel,16000,3,7565.074,46.035,64.946,33.623,6531.471,94.0,39559,3,2505,0
load_channel,22000,1,7518.156,44.731,74.668,180.772,6473.107,94.0,39559,3,2505,0
load_channel,22000,2,7507.112,46.215,60.149,39.567,6471.373,94.2,39635,3,2429,0
load_channel,22000,3,7500.472,46.122,65.472,38.582,6459.135,94.0,39559,3,2505,0
load_channel,30000,1,7469.949,44.796,63.858,33.586,6445.759,94.0,39559,3,2505,0
load_channel,30000,2,7545.306,44.903,62.884,36.873,6507.439,94.0,39559,3,2505,0
load_channel,30000,3,7522.963,44.132,61.535,35.575,6483.250,94.0,39559,3,2505,0
