walker,prefetch_limit,trial,e2e_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss
load_channel,0,1,253.857,0.000,0.000,0.000,221.511,61.9,125,3,74,0
load_channel,0,2,262.039,0.000,0.000,0.000,227.428,58.9,106,4,70,0
load_channel,0,3,230.009,0.000,0.000,0.000,200.849,51.6,64,3,57,0
load_channel,500,1,274.938,120.644,3.462,3.279,109.706,79.1,284,7,68,0
load_channel,500,2,273.065,118.217,3.669,3.180,114.061,64.6,117,3,61,0
load_channel,500,3,256.369,118.523,3.444,2.710,98.424,65.8,129,4,63,0
load_channel,1000,1,276.130,118.786,3.815,3.057,111.367,71.4,175,4,66,0
load_channel,1000,2,260.824,115.951,3.487,12.377,103.358,74.0,191,7,60,0
load_channel,1000,3,235.720,119.594,3.830,3.251,81.660,57.4,58,3,40,0
load_channel,2000,1,283.210,117.907,3.903,2.828,119.845,77.4,264,5,72,0
load_channel,2000,2,236.401,117.865,3.389,2.813,84.525,58.4,73,3,49,0
load_channel,2000,3,244.225,113.739,3.518,2.984,86.653,65.4,100,3,50,0
load_channel,3000,1,228.474,117.130,3.489,3.197,77.626,71.9,123,3,45,0
load_channel,3000,2,257.612,116.134,3.293,2.974,100.306,68.9,135,10,51,0
load_channel,3000,3,229.284,120.230,3.493,3.071,76.492,64.0,80,3,42,0
load_channel,5000,1,254.112,115.006,3.755,3.469,98.566,69.9,137,4,55,0
load_channel,5000,2,300.183,143.287,3.213,4.609,119.354,71.2,121,4,45,0
load_channel,5000,3,268.375,116.493,3.370,3.009,112.252,65.0,119,4,60,0
