walker,prefetch_limit,trial,e2e_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss
load_channel,0,1,8434.498,0.000,0.000,0.000,7529.974,82.3,34633,3,7430,0
load_channel,0,2,8296.631,0.000,0.000,0.000,7402.264,82.3,34633,3,7430,0
load_channel,0,3,8511.168,0.000,0.000,0.000,7615.582,82.3,34633,3,7430,0
load_channel,500,1,8738.579,45.576,7.097,7.607,7776.715,82.3,34634,3,7430,0
load_channel,500,2,8838.203,48.337,6.663,23.453,7866.252,82.6,34734,3,7330,0
load_channel,500,3,8634.112,46.482,6.854,6.222,7663.146,82.3,34634,3,7430,0
load_channel,1000,1,8427.286,45.019,7.309,8.056,7450.128,84.6,35595,41,6431,0
load_channel,1000,2,8507.507,45.485,6.265,16.689,7552.710,83.3,35022,614,6431,0
load_channel,1000,3,8572.542,46.250,6.811,8.152,7593.560,82.3,34634,3,7430,0
load_channel,2000,1,8575.254,45.693,6.829,12.574,7608.580,82.3,34634,3,7430,0
load_channel,2000,2,8481.697,53.841,7.088,20.783,7506.802,85.5,35952,684,5431,0
load_channel,2000,3,8681.265,46.173,6.899,12.184,7703.838,82.3,34634,3,7430,0
load_channel,4000,1,8871.935,47.768,20.961,20.475,7888.067,86.0,36174,3,5890,0
load_channel,4000,2,8271.619,46.004,18.981,34.026,7296.257,87.9,36957,1679,3431,0
load_channel,4000,3,8373.087,47.131,20.893,22.705,7395.559,90.0,37869,767,3431,0
load_channel,6000,1,7907.386,46.160,34.501,28.641,6916.388,90.6,38133,3,3931,0
load_channel,6000,2,7821.660,50.407,31.567,26.506,6821.238,90.6,38133,3,3931,0
load_channel,6000,3,7769.085,45.376,33.119,23.381,6770.268,93.2,39219,1417,1431,0
load_channel,8000,1,7567.299,47.628,60.513,37.161,6521.558,94.0,39559,3,2505,0
load_channel,8000,2,7478.435,46.018,60.280,29.331,6456.109,94.0,39559,3,2505,0
load_channel,8000,3,7480.437,47.066,65.543,37.401,6454.966,94.0,39559,3,2505,0
load_channel,12000,1,7514.208,46.994,63.821,33.474,6503.633,94.0,39559,3,2505,0
load_channel,12000,2,7434.550,46.140,60.054,27.273,6409.352,94.6,39795,3,2269,0
load_channel,12000,3,7267.527,54.376,66.264,41.058,6241.437,96.4,40547,1515,5,0
load_channel,20000,1,7368.354,45.241,56.536,30.075,6362.986,94.0,39559,3,2505,0
load_channel,20000,2,7480.186,54.454,65.353,40.253,6446.410,94.0,39559,3,2505,0
load_channel,20000,3,7489.929,46.040,65.036,41.425,6470.810,94.0,39559,3,2505,0
load_channel,30000,1,7330.041,45.076,58.206,29.168,6322.857,94.0,39559,3,2505,0
load_channel,30000,2,7354.403,45.424,56.695,31.026,6349.871,94.0,39559,3,2505,0
load_channel,30000,3,7304.307,45.253,56.188,27.868,6298.280,94.0,39559,3,2505,0
